pic   , brightDarkProp, dark_sum, bright_sum, piexs_sum
n2.jpg,      0.090,     9228,      830,    28539
n4.jpg,     39.454,      719,    28407,    46800
d9.jpg,      0.000,    16358,        0,    20844
d12.jpg,      0.000,    25966,        0,    26508
n1.jpg,      0.573,     5162,     2956,    43200
d7.jpg,      0.000,    18412,        0,    21037
n3.jpg,      0.469,     8238,     3860,    47160
d14.jpg,      0.000,    26678,        0,    27792
d11.jpg,      0.000,    19482,        0,    27792
